,usmv,sphb,^VIX,hold_usmv
2012-12-06,23.80313491821289,18.25957489013672,16.579999923706055,1
2012-12-07,23.85983657836914,18.425251007080078,15.899999618530273,1
2012-12-10,23.884130477905273,18.46885108947754,16.049999237060547,1
2012-12-11,23.95701789855957,18.643251419067383,15.569999694824219,1
2012-12-12,23.90842628479004,18.70429229736328,15.949999809265137,1
2012-12-13,23.81124496459961,18.564769744873047,16.559999465942383,1
2012-12-14,23.73834991455078,18.599647521972656,17.0,1
2012-12-17,23.95701789855957,18.84380531311035,16.34000015258789,1
2012-12-18,24.086606979370117,19.27108383178711,15.569999694824219,1
2012-12-19,23.926820755004883,19.192607879638672,17.360000610351562,1
2012-12-20,23.992046356201172,19.33212661743164,17.670000076293945,1
2012-12-21,23.828990936279297,19.106212615966797,17.84000015258789,1
2012-12-24,23.771921157836914,19.01864242553711,17.84000015258789,1
2012-12-26,23.625194549560547,19.001136779785156,19.479999542236328,1
2012-12-27,23.61376953125,18.9486026763916,19.469999313354492,1
2012-12-28,23.38538360595703,18.668399810791016,22.719999313354492,0
2012-12-31,23.687183380126953,19.19377326965332,18.020000457763672,1
2013-01-02,24.168426513671875,19.745424270629883,14.680000305175781,1
2013-01-03,24.20105743408203,19.771690368652344,14.5600004196167,1
2013-01-04,24.339725494384766,20.04314422607422,13.829999923706055,1
2013-01-07,24.241840362548828,19.96432876586914,13.789999961853027,1
2013-01-08,24.217369079589844,19.797964096069336,13.619999885559082,1
2013-01-09,24.307090759277344,19.84174156188965,13.8100004196167,1
2013-01-10,24.445751190185547,20.025625228881836,13.489999771118164,1
2013-01-11,24.45391273498535,19.955575942993164,13.359999656677246,1
2013-01-14,24.470226287841797,19.8592529296875,13.520000457763672,1
2013-01-15,24.502857208251953,20.00811004638672,13.550000190734863,1
2013-01-16,24.45391273498535,20.025625228881836,13.420000076293945,1
2013-01-17,24.568105697631836,20.2182674407959,13.569999694824219,1
2013-01-18,24.649675369262695,20.279558181762695,12.460000038146973,1
2013-01-22,24.755708694458008,20.498464584350586,12.430000305175781,1
2013-01-23,24.763874053955078,20.48094940185547,12.460000038146973,1
2013-01-24,24.829124450683594,20.52473258972168,12.6899995803833,1
2013-01-25,24.861751556396484,20.75240135192871,12.890000343322754,1
2013-01-28,24.84543800354004,20.647321701049805,13.569999694824219,1
2013-01-29,24.992258071899414,20.6735897064209,13.3100004196167,1
2013-01-30,24.87805938720703,20.55099868774414,14.319999694824219,1
2013-01-31,24.869909286499023,20.664831161499023,14.279999732971191,1
2013-02-01,25.081993103027344,20.874982833862305,12.899999618530273,1
2013-02-04,24.853591918945312,20.647321701049805,14.670000076293945,1
2013-02-05,25.024890899658203,20.90125846862793,13.720000267028809,1
2013-02-06,25.081993103027344,20.936277389526367,13.40999984741211,1
2013-02-07,25.098297119140625,20.822446823120117,13.5,1
2013-02-08,25.220645904541016,20.927520751953125,13.020000457763672,1
2013-02-11,25.212491989135742,20.95379066467285,12.9399995803833,1
2013-02-12,25.196182250976562,21.137672424316406,12.640000343322754,1
2013-02-13,25.188016891479492,21.146427154541016,12.979999542236328,1
2013-02-14,25.122764587402344,21.28652572631836,12.65999984741211,1
2013-02-15,25.188016891479492,21.111408233642578,12.460000038146973,1
2013-02-19,25.342998504638672,21.295284271240234,12.3100004196167,1
2013-02-20,25.23696517944336,20.691097259521484,14.680000305175781,1
2013-02-21,25.17171287536621,20.35836410522461,15.220000267028809,1
2013-02-22,25.40009307861328,20.577268600463867,14.170000076293945,1
2013-02-25,25.122764587402344,19.885520935058594,18.989999771118164,1
